Iota Knea,2243846.0,952.89417,957.53845,45.573208,-35.140705
Daphun,44818.07,-53197.875,37999.63,-425.53784,592.58167
Ki,42843.94,-32660.43,-18675.914,-277.94894,260.71475
Fenshan,3.0,12767.829,28374.02,490.83102,452.08853
Wrei,2.0,4285.5107,-23046.14,-96.45986,-52.59553
Whue,2.0,2450.5986,-22271.113,-220.7261,-263.35437
Fie,44869.195,8423.057,-7573.6567,-151.52455,-639.4592
Hir,42672.906,7365.887,4860.559,308.28937,-578.20575
Foowieneibyn,2.0,-38427.76,3350.573,-613.5678,-123.45009
Whei,44695.645,2088.0413,4537.958,-642.2315,502.10565
Chan,3.0,22988.566,12903.751,552.255,-11.035902
Ranzeaphe,42755.504,4746.7017,-10151.373,219.28015,272.57904
Jeewenwro,44843.06,-1950.4456,4744.458,246.5099,730.1648
Chie,3.0,14501.372,27081.602,-80.28007,-61.292027
Ngeameiwhuexeihea,44701.258,-9121.452,2774.3452,-208.45041,-348.8715
Wyphun,85806.01,2443.1802,-9140.695,340.29355,-1.4281242
Ngoi,44859.64,10976.184,4863.5093,652.998,46.970245
Quun ran,44751.637,98699.195,7628.459,1164.4625,265.076
Shir,4.0,98307.336,7870.359,1479.3599,330.6257
Henxea,44900.305,7474.1807,-3975.7002,-244.72171,560.08075
Joonir,3.0,1315.0092,1905.6753,-1960.0067,177.82607
Chi roo,42775.992,-7983.932,-8657.315,284.24918,214.00717
Ngo,42664.83,9715.632,-16128.399,449.3423,171.79527
Vashei,44693.82,-10940.92,-16315.39,138.74509,107.268906
Whoo dee-xir,44761.418,-8223.763,-20781.654,392.37967,-103.16933
Heixoo,44717.87,-17700.324,-28573.676,165.27675,-481.92545
Queebir ngi,44858.24,-2858.4583,11275.461,-288.6144,373.52728
Fanzea,42767.586,-58023.21,-11904.754,-574.08405,-420.38388
Ngawieda,42785.887,-39641.086,-8796.618,-535.9074,-497.9423
Lanxu,44895.918,-9353.618,2526.3728,327.29523,-736.2515
Dendinhoxoi-hue,44865.75,-57474.805,26131.22,-1358.0106,-69.374985
Jachie,44727.89,14947.999,58751.023,-130.40102,638.50385
Wan,44712.97,10471.168,54409.12,-211.33302,769.4731
Ngue,42779.25,54833.875,30321.16,471.92084,536.0816
Gazenjun,44668.617,21093.402,-7686.5293,65.95313,223.85995
Jeshiphun,3.0,3496.6152,-9589.236,99.05941,-121.50242
Cueven,44894.633,-51470.145,-49067.883,-859.9201,-786.39307
Sinmiebeibeangan,3.0,-47896.312,-50089.883,-862.9284,-812.59814
Jyrin,132297.53,2045.0146,-3296.7466,-749.2379,762.5364
Wheimunzietu,3.0,15791.697,-22326.057,-83.09123,-428.28973
Ni,2.0,25131.447,-30447.37,139.37804,-710.5795
Theiknei,44835.55,2410.5005,-4411.637,-1064.7445,-62.956837
Chun,42682.723,-3462.8042,-28916.93,-298.1333,-552.67645
Ngenyuehieknen,42699.715,22441.625,24522.553,637.4835,87.77452
Bei,3.0,22030.387,25424.348,847.9522,46.170757
Thankei,42802.703,16772.217,-13806.507,254.50064,-710.11475
Wy-dy,3.0,2818.3718,-15483.925,-64.49202,-623.2827
Sheiwhinyun,44810.348,1489.4966,30375.238,894.20654,311.0805
Xyn,42681.426,-5241.3647,51670.355,986.1104,818.8568
Quan,42733.566,-76298.1,87426.15,-384.69067,2013.0554
Weaza,42763.21,-110411.93,1923.092,-1183.7538,699.34814
Zeta Chea,44670.016,-314228.3,9017.291,-5672.906,1008.388
Fanjinpheijophie,4.0,-310046.47,6339.6685,-5626.007,993.8197
Yoboo zeiyin,1.0,-303769.9,14043.522,-5465.2847,1099.2509
Shi,44711.086,-24424.406,-41885.336,-1127.2128,169.35994
Shee,44793.207,46704.09,-121121.945,-44.939117,-1516.8883
Hensinwroofenni,42827.965,95276.51,-7614.4146,1269.8651,637.58466
Thirwruechoo,42819.89,114350.24,-36792.125,2003.702,181.47198
Voide,42819.168,50434.082,-75055.77,1376.505,-703.78925
Lieceikynto,44807.95,20804.668,-93023.44,1095.9241,-1311.3975
Kirchenxue,42873.11,-40021.754,-10971.965,43.50634,64.823654
