Sanpecheishir,43752.0,-94.67839,-47.36131,-0.08854894,-0.043345787
Xoishie,1.0,-519.9304,320.08542,-100.237274,-23.296455
Reedadu,3.0,-99886.39,-79293.58,-73.24007,-58.76309
Quenlo,4.0,-223038.53,3430.7253,-169.73659,2.1916199
Kneideaxirkan,3.0,-281975.22,-17101.436,-219.39534,-13.67643
Finhiboknen,2.0,-62578.062,-102330.73,-48.46824,-80.252144
Zoquinmanpea,2.0,-223245.44,-95196.78,-179.3073,-76.87416
Docajin-ca,4.0,-16690.684,-62088.2,-11.830305,-47.735603
Zo,3.0,-66668.52,-238484.78,-59.773895,-215.82547
Ngirpy,2.0,-8281.419,-213305.0,-7.110716,-196.17699
Shynlir,4.0,-1192.2009,-143493.81,-0.5262444,-133.42805
Peatho,2.0,-216.63861,-560.6547,77.30734,-17.848965
Pea,3.0,39873.863,-14688.543,35.436203,-11.535378
Zyhoo,4.0,36872.457,-166043.6,37.88382,-167.70644
Meeboi,1.0,16541.91,-122667.86,17.633522,-125.710526
Yijoomushunquyn,3.0,25503.645,-68319.51,26.985844,-69.652214
Wirknen,2.0,41309.39,-42920.02,43.42825,-43.434048
Wrei,1.0,262.6443,-394.41248,65.96547,56.306526
Fowhirvee,2.0,65206.87,-108505.76,75.16657,-123.58099
Cheiwhinan,4.0,32064.566,-43805.625,36.7194,-47.97077
Phoshirngice,3.0,-36995.426,-146366.28,-44.547226,-179.03618
Bei-wiewreexo,2.0,5026.139,-139226.11,7.1846056,-174.33295
Denniefoo,1.0,38621.58,-95057.555,50.44579,-121.42171
